employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met_more_than_80,awards_won,avg_training_score,no. of projects completed
100047,Analytics,region_34,Bachelors,m,sourcing,3,27,3,2,0,0,83,1
100048,Analytics,region_22,Masters & above,m,other,1,31,2,1,1,0,84,10
100049,Operations,region_23,Bachelors,m,other,1,33,4,8,1,0,59,5
100050,Sales & Marketing,region_2,Bachelors,m,sourcing,1,36,5,4,1,0,49,5
100051,Technology,region_2,Masters & above,f,other,1,57,1,26,0,0,76,0
100052,Sales & Marketing,region_2,Bachelors,m,other,2,46,1,7,0,0,49,0
100053,Sales & Marketing,region_19,Bachelors,m,sourcing,1,30,2,3,0,0,50,0
100054,Operations,region_2,Below Secondary,m,other,1,21,1,1,1,0,56,5
100055,Technology,region_4,Bachelors,m,sourcing,1,26,1,1,1,0,85,10
100056,Technology,region_7,Masters & above,m,sourcing,2,40,3,6,0,0,81,1
100057,Technology,region_23,Bachelors,m,other,2,32,3,6,0,0,79,0
100058,Finance,region_22,Masters & above,f,sourcing,1,36,3,2,1,0,61,5
100059,Legal,region_2,Bachelors,m,other,1,28,2,2,0,0,62,0
100060,Operations,region_22,Bachelors,f,sourcing,1,29,5,4,1,0,56,5
100061,Sales & Marketing,region_2,Masters & above,m,sourcing,1,38,4,4,0,0,49,0
100062,Technology,region_4,Bachelors,m,other,1,31,2,4,1,0,78,5
100063,Sales & Marketing,region_22,Bachelors,m,other,1,29,1,4,0,0,46,0
100064,Technology,region_5,Below Secondary,m,other,1,23,1,1,0,0,81,1
100065,Operations,region_26,Bachelors,m,sourcing,1,41,4,6,1,0,60,5
100066,Procurement,region_2,Bachelors,m,other,1,29,5,2,1,0,74,5
100067,Sales & Marketing,region_28,Bachelors,f,other,1,29,2,5,0,0,51,0
100068,Operations,region_2,Bachelors,m,sourcing,1,28,3,3,0,0,59,0
100069,Analytics,region_29,Bachelors,m,other,2,28,5,4,1,0,84,10
100070,Procurement,region_22,Bachelors,f,sourcing,1,31,1,6,0,0,64,0
100071,Technology,region_4,Masters & above,m,sourcing,1,36,3,4,0,0,76,0
100072,Operations,region_2,Bachelors,m,other,3,26,3,4,1,0,57,5
100073,Technology,region_15,Bachelors,m,other,1,29,3,2,0,0,84,1
100074,Analytics,region_7,Bachelors,m,sourcing,1,32,4,6,0,0,85,1
100075,Sales & Marketing,region_2,Bachelors,f,other,1,40,1,10,0,0,50,0
100076,Analytics,region_22,Bachelors,m,sourcing,2,38,4,13,0,0,87,1
100077,Analytics,region_4,Bachelors,m,other,1,42,5,11,1,0,80,10
100078,Procurement,region_29,Masters & above,f,other,1,33,3,6,0,0,68,0
100079,Analytics,region_2,Bachelors,m,other,1,31,5,5,1,0,92,10
100080,Operations,region_3,Masters & above,f,sourcing,1,35,3,4,0,0,58,0
100081,HR,region_2,Masters & above,f,sourcing,1,58,5,6,1,0,51,5
100082,Sales & Marketing,region_28,Bachelors,f,sourcing,1,26,2,4,0,0,48,0
100083,HR,region_29,Bachelors,f,sourcing,1,33,3,8,1,0,49,5
100084,Technology,region_7,Bachelors,m,sourcing,1,30,3,3,1,0,80,10
100085,Technology,region_13,Masters & above,f,sourcing,1,43,3,12,0,0,79,0
100086,HR,region_17,Bachelors,f,sourcing,1,31,4,7,0,0,48,0
100087,Analytics,region_29,Bachelors,m,sourcing,1,32,3,5,1,0,86,10
100088,Technology,region_2,Masters & above,f,sourcing,2,57,2,7,0,0,83,1
100089,Operations,region_2,Bachelors,f,other,1,54,4,22,0,0,57,0
100090,Analytics,region_15,Bachelors,m,other,2,37,5,8,1,0,82,10
100091,R&D,region_22,Masters & above,m,other,2,27,4,5,0,0,86,1
100092,Operations,region_22,Masters & above,m,sourcing,1,44,3,10,0,0,55,0
100093,Technology,region_24,Masters & above,f,other,1,37,3,10,0,0,81,1
100094,Procurement,region_7,Masters & above,m,other,1,48,4,8,0,0,72,0
100095,Sales & Marketing,region_25,Bachelors,f,other,1,31,3,6,1,0,43,5
100096,Finance,region_22,Bachelors,f,other,1,28,5,5,1,0,60,5
100097,Procurement,region_13,Masters & above,f,other,1,34,3,4,0,0,69,0
100098,Sales & Marketing,region_14,Bachelors,f,sourcing,1,44,1,4,0,0,47,0
100099,Sales & Marketing,region_12,Bachelors,m,sourcing,1,27,5,2,0,0,50,0
100100,Operations,region_22,Masters & above,m,referred,1,45,3,4,1,0,57,5
100101,Sales & Marketing,region_13,Bachelors,m,sourcing,1,24,4,2,0,0,48,0
100102,Analytics,region_29,Bachelors,m,other,1,37,5,4,0,0,82,1
100103,Analytics,region_22,Masters & above,m,other,1,27,5,1,1,0,86,10
100104,Legal,region_22,Bachelors,m,other,1,33,2,1,1,0,59,5
100105,Sales & Marketing,region_2,Masters & above,f,other,1,31,1,2,1,0,53,5
100106,Sales & Marketing,region_7,Masters & above,m,sourcing,3,38,3,5,0,0,49,0
100107,Procurement,region_22,Bachelors,m,other,1,32,5,2,1,0,72,5
100108,Analytics,region_19,Bachelors,m,other,1,29,3,4,0,0,84,1
100109,Sales & Marketing,region_15,Bachelors,m,other,1,37,4,9,0,0,50,0
100110,Operations,region_13,Bachelors,m,other,2,42,3,12,0,0,60,0
100111,R&D,region_22,Masters & above,m,sourcing,2,32,5,5,1,0,88,10
100112,Operations,region_13,Bachelors,m,other,1,45,3,3,0,0,60,0
100113,Analytics,region_29,Bachelors,m,other,1,28,3,7,0,0,83,1
100114,Technology,region_15,Masters & above,m,sourcing,1,35,1,9,0,0,81,1
100115,Sales & Marketing,region_4,Bachelors,m,other,3,28,3,5,0,0,48,0
100116,Operations,region_8,Bachelors,f,other,1,37,1,3,1,0,59,5
100117,Analytics,region_4,Masters & above,m,other,1,38,4,7,1,0,88,10
100118,Procurement,region_2,Bachelors,f,sourcing,1,31,1,6,0,0,68,0
100119,Operations,region_2,Masters & above,m,other,2,43,3,2,0,0,69,0
100120,Operations,region_23,Bachelors,m,other,1,32,3,2,1,0,62,5
100121,Procurement,region_2,Below Secondary,m,sourcing,1,24,4,2,1,0,69,5
100122,Operations,region_2,Masters & above,m,other,1,52,5,8,0,0,59,0
100123,Technology,region_13,Masters & above,m,other,1,38,5,2,0,0,88,1
100124,Finance,region_20,Bachelors,m,other,1,35,3,4,0,0,59,0
100125,Technology,region_31,Masters & above,m,other,1,39,5,4,0,1,81,1
100126,Procurement,region_7,Bachelors,m,other,1,31,3,5,1,0,65,5
100127,Operations,region_27,Bachelors,m,sourcing,1,37,3,5,0,0,57,0
100128,Analytics,region_21,Masters & above,m,sourcing,1,27,1,1,0,0,80,1
100129,Operations,region_30,Masters & above,f,other,1,37,5,9,1,0,56,5
100130,Analytics,region_16,Bachelors,m,other,2,31,3,5,1,0,81,10
100131,Analytics,region_22,Bachelors,m,sourcing,1,28,5,4,1,0,85,10
100132,Technology,region_15,Bachelors,m,other,1,26,3,3,0,0,77,0
100133,Finance,region_2,Masters & above,m,other,1,49,4,7,1,0,62,5
100134,Procurement,region_13,Bachelors,f,other,1,34,3,9,0,0,68,0
100135,Finance,region_4,Masters & above,f,other,1,38,3,2,0,0,58,0
100136,Sales & Marketing,region_13,Masters & above,m,other,1,52,4,4,1,0,51,5
100137,Sales & Marketing,region_22,Bachelors,m,sourcing,3,31,1,7,1,0,50,5
100138,Technology,region_2,Bachelors,f,other,1,24,1,2,0,0,82,1
100139,Analytics,region_22,Masters & above,f,sourcing,2,26,5,3,1,0,86,10
100140,HR,region_7,Bachelors,m,other,1,31,2,5,0,0,66,0
100141,Technology,region_26,Bachelors,f,other,1,43,1,4,1,0,86,10
100142,Procurement,region_4,Masters & above,m,other,4,37,3,6,0,0,68,0
100143,Sales & Marketing,region_2,Masters & above,m,sourcing,1,37,4,4,0,0,50,0
100144,HR,region_2,Masters & above,m,other,1,37,5,9,1,0,53,5
100145,Operations,region_29,Bachelors,m,other,1,32,5,8,1,0,58,5
100146,Sales & Marketing,region_26,Bachelors,f,other,1,30,4,2,0,0,53,0
100147,Procurement,region_20,Bachelors,f,other,1,30,5,4,1,0,71,5
100148,Sales & Marketing,region_7,Bachelors,m,sourcing,1,27,4,3,0,0,50,0
100149,Sales & Marketing,region_2,Bachelors,m,other,2,36,4,8,0,0,45,0
100150,Technology,region_9,Bachelors,m,sourcing,4,30,3,2,0,0,78,0
100151,Procurement,region_2,Masters & above,m,sourcing,1,49,4,19,0,0,73,0
100152,Sales & Marketing,region_10,Masters & above,m,other,1,38,5,5,0,0,63,0
100153,Sales & Marketing,region_30,Bachelors,m,other,1,29,3,6,0,0,51,0
100154,Technology,region_33,Bachelors,m,other,1,48,3,6,1,0,81,10
100155,Sales & Marketing,region_21,Bachelors,m,other,1,29,3,1,0,0,53,0
100156,Analytics,region_2,Masters & above,m,other,1,59,4,13,0,0,82,1
100157,Operations,region_7,Bachelors,f,other,1,36,5,5,1,0,62,5
100158,Finance,region_13,Bachelors,m,other,1,28,3,3,0,0,59,0
100159,Procurement,region_22,Bachelors,m,other,2,27,4,2,1,0,68,5
100160,Operations,region_2,Bachelors,m,sourcing,1,25,3,2,0,0,62,0
100161,Sales & Marketing,region_26,Bachelors,m,other,1,30,5,6,1,0,52,5
100162,HR,region_27,Below Secondary,m,other,1,23,3,1,0,0,51,0
100163,HR,region_15,Bachelors,f,sourcing,1,28,3,1,0,0,50,0
100164,Sales & Marketing,region_2,Bachelors,m,other,1,38,4,5,1,0,48,5
100165,Sales & Marketing,region_22,Bachelors,m,sourcing,1,30,3,1,1,0,45,5
100166,HR,region_2,Bachelors,f,other,1,53,4,21,0,0,53,0
100167,Sales & Marketing,region_8,Masters & above,m,other,1,35,3,8,0,0,45,0
100168,HR,region_2,Bachelors,m,other,1,45,3,14,1,0,53,5
100169,Sales & Marketing,region_26,Bachelors,m,sourcing,1,40,1,8,0,0,51,0
100170,Operations,region_32,Bachelors,m,other,1,39,3,8,0,0,58,0
100171,Analytics,region_13,Bachelors,m,other,1,46,4,6,0,0,82,1
100172,Technology,region_5,Bachelors,m,sourcing,2,29,3,3,0,0,79,0
100173,Analytics,region_6,Bachelors,m,other,1,28,4,1,1,0,84,10
100174,Technology,region_15,Bachelors,f,other,1,34,4,6,1,0,82,10
100175,Sales & Marketing,region_9,Bachelors,m,other,1,23,3,1,1,0,47,5
100176,Sales & Marketing,region_14,Bachelors,m,other,1,38,5,3,0,0,51,0
100177,HR,region_22,Masters & above,m,sourcing,1,32,3,5,0,0,52,0
100178,Operations,region_26,Bachelors,m,other,1,33,3,5,1,0,58,5
100179,Procurement,region_2,Bachelors,f,other,1,39,4,9,0,0,70,0
100180,Procurement,region_4,Masters & above,m,other,4,36,3,6,0,0,71,0
100181,Operations,region_22,Bachelors,m,sourcing,2,33,4,4,0,0,59,0
100182,Sales & Marketing,region_2,Bachelors,f,other,1,29,4,6,1,0,45,5
100183,R&D,region_7,Bachelors,f,other,1,32,3,5,0,0,85,1
100184,Sales & Marketing,region_28,Bachelors,f,sourcing,1,26,3,2,1,0,46,5
100185,Analytics,region_32,Bachelors,m,sourcing,1,38,3,3,0,0,82,1
100186,Procurement,region_22,Masters & above,m,sourcing,1,42,2,15,0,0,70,0
100187,Operations,region_32,Bachelors,f,sourcing,1,30,5,6,0,0,60,0
100188,Analytics,region_22,Bachelors,m,sourcing,2,28,3,1,0,0,83,1
100189,Sales & Marketing,region_14,Bachelors,m,other,1,36,4,6,0,0,47,0
100190,Procurement,region_2,Bachelors,f,other,1,56,5,6,0,0,84,1
100191,Sales & Marketing,region_14,Bachelors,f,other,1,30,3,5,0,0,51,0
100192,Sales & Marketing,region_15,Bachelors,m,other,2,25,3,1,0,0,50,0
100193,HR,region_7,Bachelors,f,other,1,29,5,6,1,0,49,5
100194,Sales & Marketing,region_7,Bachelors,m,other,1,36,2,7,0,0,47,0
100195,Technology,region_14,Bachelors,f,other,1,39,3,4,0,0,80,1
100196,Analytics,region_26,Bachelors,m,sourcing,1,30,5,4,1,0,84,10
100197,R&D,region_2,Bachelors,m,other,2,42,3,9,0,0,84,1
100198,Sales & Marketing,region_26,Bachelors,m,sourcing,2,37,4,9,0,0,49,0
100199,Procurement,region_22,Bachelors,m,sourcing,1,31,2,2,1,0,66,5
100200,Sales & Marketing,region_28,Masters & above,m,sourcing,1,32,4,6,1,0,48,5
100201,Operations,region_15,Masters & above,m,other,1,40,5,11,1,0,59,5
100202,Finance,region_2,Bachelors,m,sourcing,2,39,5,10,1,0,58,5
100203,Sales & Marketing,region_26,Bachelors,m,other,1,40,4,10,1,0,47,5
100204,HR,region_22,Bachelors,m,sourcing,1,23,1,2,0,0,45,0
100205,Operations,region_2,Bachelors,m,sourcing,2,28,3,1,0,0,60,0
100206,Sales & Marketing,region_7,Bachelors,m,other,1,37,2,4,0,0,51,0
100207,Finance,region_2,Below Secondary,m,sourcing,1,23,3,1,1,0,58,5
100208,Operations,region_2,Bachelors,m,sourcing,1,37,3,9,0,0,61,0
100209,Legal,region_22,Bachelors,m,referred,1,29,5,3,1,0,54,5
100210,Operations,region_32,Bachelors,f,other,1,38,4,10,0,0,55,0
100211,Operations,region_22,Bachelors,m,other,2,39,4,10,0,0,57,0
100212,Sales & Marketing,region_22,Masters & above,m,other,2,38,5,7,1,0,48,5
100213,Procurement,region_13,Bachelors,m,sourcing,1,34,3,4,0,0,69,0
100214,Procurement,region_15,Bachelors,f,other,1,48,5,21,0,0,69,0
100215,R&D,region_26,Masters & above,m,other,1,29,5,4,0,0,82,1
100216,Technology,region_13,Masters & above,f,other,1,37,4,7,1,0,81,10
100217,Sales & Marketing,region_22,Bachelors,m,other,2,23,3,1,1,0,53,5
100218,Operations,region_2,Bachelors,f,other,1,47,5,2,1,0,63,5
100219,Sales & Marketing,region_14,Bachelors,m,sourcing,1,31,1,3,0,0,50,0
100220,Analytics,region_16,Bachelors,m,other,1,28,3,4,0,0,83,1
100221,Finance,region_28,Masters & above,f,other,2,32,4,6,1,0,57,5
100222,Procurement,region_27,Bachelors,f,other,1,33,2,4,1,0,71,5
100223,Legal,region_6,Bachelors,m,sourcing,2,28,3,1,1,0,58,5
100224,Legal,region_2,Bachelors,m,other,1,32,3,1,1,0,62,5
100225,Operations,region_6,Bachelors,m,sourcing,1,34,3,10,0,0,67,0
100226,Sales & Marketing,region_7,Bachelors,m,sourcing,1,38,5,3,1,0,52,5
100227,Technology,region_33,Bachelors,m,other,1,28,4,5,0,0,79,0
100228,Analytics,region_24,Masters & above,m,other,1,34,3,3,0,0,87,1
100229,Procurement,region_2,Bachelors,m,other,1,44,2,16,0,0,70,0
100230,Procurement,region_20,Bachelors,m,sourcing,1,28,3,4,0,0,69,0
100231,Operations,region_27,Bachelors,f,other,1,31,1,5,1,0,61,5
100232,Analytics,region_29,Bachelors,m,other,1,34,2,5,0,0,84,1
100233,Procurement,region_2,Below Secondary,m,other,1,22,3,2,1,0,71,5
100234,Procurement,region_2,Bachelors,m,other,1,20,3,1,0,0,76,0
100235,Procurement,region_11,Bachelors,f,other,1,32,3,7,1,0,66,5
100236,Technology,region_2,Masters & above,f,other,1,43,3,6,1,0,80,10
100237,Analytics,region_2,Masters & above,f,other,1,42,5,13,1,0,85,10
100238,HR,region_7,Bachelors,m,other,1,41,3,8,1,0,54,5
100239,Technology,region_11,Bachelors,f,other,1,27,3,2,0,0,84,1
100240,Finance,region_2,Bachelors,m,sourcing,1,41,4,9,0,0,56,0
100241,Technology,region_23,Bachelors,m,other,1,26,5,2,1,0,76,5
100242,Analytics,region_34,Bachelors,m,other,1,35,5,10,1,0,85,10
100243,Sales & Marketing,region_28,Bachelors,f,sourcing,1,28,1,3,0,0,58,0
100244,HR,region_2,Bachelors,f,sourcing,1,50,1,9,0,0,46,0
100245,Sales & Marketing,region_22,Masters & above,m,other,1,29,3,1,1,1,46,5
100246,Sales & Marketing,region_7,Masters & above,m,other,2,37,1,10,0,0,49,0
100247,Operations,region_4,Bachelors,m,other,2,35,3,8,1,0,64,5
100248,Sales & Marketing,region_28,Masters & above,f,other,1,29,4,4,0,0,51,0
100249,Sales & Marketing,region_6,Bachelors,f,sourcing,1,36,5,8,0,0,47,0
100250,Technology,region_5,Below Secondary,m,other,1,22,2,1,1,0,79,5
100251,Finance,region_2,Bachelors,m,other,1,36,3,3,0,0,55,0
100252,Operations,region_22,Bachelors,f,other,2,37,4,2,0,0,71,0
100253,Analytics,region_29,Bachelors,m,other,1,30,3,4,0,0,83,1
100254,Finance,region_2,Bachelors,m,sourcing,2,26,2,2,0,0,54,0
100255,Procurement,region_13,Bachelors,f,sourcing,2,28,5,3,1,0,68,5
100256,Operations,region_15,Bachelors,m,other,1,49,4,9,0,0,61,0
100257,Analytics,region_22,Bachelors,m,other,1,29,5,2,1,0,84,10
100258,Procurement,region_21,Masters & above,m,other,1,35,5,7,1,0,70,5
100259,Technology,region_24,Bachelors,m,other,1,32,2,6,0,0,90,1
100260,Sales & Marketing,region_28,Masters & above,f,sourcing,1,42,3,4,0,0,54,0
100261,Technology,region_4,Masters & above,m,other,1,37,4,5,0,0,76,0
100262,Sales & Marketing,region_29,Bachelors,m,other,1,28,5,2,0,0,45,0
100263,Procurement,region_15,Bachelors,m,other,1,38,4,2,1,1,97,10
100264,Analytics,region_2,Bachelors,m,sourcing,2,39,4,5,1,0,86,10
100265,Analytics,region_27,Bachelors,m,other,1,28,5,2,1,0,87,10
100266,Operations,region_14,Bachelors,m,other,2,34,3,10,0,0,60,0
100267,Operations,region_22,Bachelors,f,other,1,37,3,3,0,0,63,0
100268,Sales & Marketing,region_2,Masters & above,f,sourcing,2,38,1,6,0,0,51,0
100269,Finance,region_2,Bachelors,f,sourcing,1,24,5,2,1,0,57,5
100270,Sales & Marketing,region_11,Masters & above,m,other,1,36,3,7,0,0,52,0
100271,Procurement,region_2,Bachelors,m,other,1,41,2,15,0,0,70,0
100272,Operations,region_22,Bachelors,m,other,2,29,2,1,0,0,60,0
100273,Technology,region_2,Masters & above,f,sourcing,2,59,1,15,0,0,76,0
100274,Sales & Marketing,region_12,Bachelors,f,sourcing,1,29,3,1,0,0,48,0
100275,Operations,region_22,Bachelors,f,other,1,29,5,3,0,0,57,0
100276,Sales & Marketing,region_13,Bachelors,f,sourcing,3,31,1,5,0,0,51,0
100277,Sales & Marketing,region_28,Bachelors,m,sourcing,1,31,5,7,0,0,51,0
100278,Sales & Marketing,region_25,Bachelors,f,sourcing,1,31,4,3,0,0,50,0
100279,Sales & Marketing,region_26,Bachelors,m,other,1,32,3,4,1,0,47,5
100280,Procurement,region_26,Bachelors,f,other,1,49,4,8,0,0,68,0
100281,Operations,region_2,Masters & above,m,other,1,42,5,11,0,0,59,0
100282,Sales & Marketing,region_11,Bachelors,m,other,1,32,5,7,1,0,49,5
100283,Analytics,region_11,Bachelors,m,other,1,30,3,4,0,0,80,1
100284,Analytics,region_4,Bachelors,m,other,1,32,5,8,0,0,86,1
100285,Procurement,region_1,Bachelors,f,sourcing,2,29,1,2,0,0,74,0
100286,Sales & Marketing,region_2,Bachelors,m,sourcing,2,31,1,6,0,0,50,0
100287,Sales & Marketing,region_20,Bachelors,m,other,2,27,3,1,1,1,48,5
100288,Operations,region_34,Bachelors,m,other,1,30,3,2,1,0,58,5
100289,Operations,region_2,Bachelors,f,sourcing,1,48,4,8,1,0,60,5
100290,Sales & Marketing,region_2,Bachelors,m,sourcing,1,39,5,12,0,0,50,0
100291,Analytics,region_23,Masters & above,m,sourcing,1,35,2,7,1,0,87,10
100292,Technology,region_2,Bachelors,f,other,1,47,4,7,0,0,78,0
100293,Sales & Marketing,region_31,Masters & above,m,other,1,46,5,3,1,0,51,5
100294,Procurement,region_31,Masters & above,f,other,1,37,3,2,1,1,97,10
100295,Operations,region_19,Bachelors,m,other,1,26,5,6,1,0,60,5
100296,Technology,region_6,Bachelors,f,sourcing,1,31,5,4,1,0,87,10
100297,Operations,region_27,Bachelors,m,other,1,26,3,1,1,0,56,5
100298,Procurement,region_20,Bachelors,f,other,1,28,2,4,0,0,69,0
100299,Operations,region_4,Masters & above,f,sourcing,2,36,1,6,1,1,65,5
100300,Technology,region_24,Masters & above,f,other,1,35,1,7,0,0,80,1
100301,Analytics,region_13,Bachelors,m,sourcing,1,34,4,9,0,0,84,1
100302,Analytics,region_2,Masters & above,m,sourcing,2,58,5,6,1,0,81,10
100303,Sales & Marketing,region_22,Masters & above,m,sourcing,1,29,2,5,1,0,50,5
100304,Operations,region_13,Bachelors,m,other,1,36,2,9,0,0,59,0
100305,R&D,region_2,Bachelors,m,sourcing,1,30,1,4,0,0,84,1
100306,HR,region_2,Masters & above,f,other,1,40,3,10,0,0,49,0
100307,Procurement,region_15,Bachelors,m,other,1,38,3,4,1,0,71,5
100308,Sales & Marketing,region_11,Bachelors,m,other,1,36,2,5,0,0,52,0
100309,Sales & Marketing,region_2,Bachelors,m,other,1,41,4,9,0,0,49,0
100310,Procurement,region_22,Masters & above,m,other,1,33,5,5,1,0,66,5
100311,Technology,region_31,Bachelors,m,sourcing,1,29,1,4,0,0,79,0
100312,Operations,region_22,Masters & above,f,other,1,33,4,8,1,0,81,10
100313,Sales & Marketing,region_7,Masters & above,f,other,1,41,1,2,0,0,47,0
100314,Procurement,region_2,Masters & above,m,other,2,41,3,10,0,0,67,0
100315,Operations,region_13,Masters & above,m,other,1,41,3,4,0,0,60,0
100316,Technology,region_7,Bachelors,f,other,1,28,4,5,1,0,76,5
100317,Sales & Marketing,region_7,Masters & above,f,sourcing,1,32,5,7,1,0,53,5
100318,Technology,region_8,Bachelors,m,other,1,25,3,3,0,0,77,0
100319,Technology,region_13,Below Secondary,f,sourcing,1,24,2,2,0,0,85,1
100320,Sales & Marketing,region_7,Bachelors,m,other,1,53,4,10,1,0,45,5
100321,Sales & Marketing,region_25,Masters & above,m,sourcing,1,38,5,12,1,0,49,5
100322,Legal,region_22,Bachelors,m,sourcing,1,31,3,3,0,0,62,0
100323,Sales & Marketing,region_2,Bachelors,f,other,2,51,3,17,0,0,52,0
100324,Operations,region_14,Masters & above,m,sourcing,1,42,3,4,0,0,59,0
100325,Operations,region_2,Masters & above,m,other,1,56,5,16,1,0,59,5
100326,Sales & Marketing,region_4,Bachelors,m,other,1,48,4,9,0,0,46,0
100327,Procurement,region_2,Masters & above,m,sourcing,1,56,3,2,1,0,65,5
100328,Technology,region_26,Bachelors,m,referred,1,27,3,1,0,0,79,0
100329,R&D,region_26,Bachelors,m,other,1,31,4,6,0,0,84,1
100330,Procurement,region_22,Masters & above,m,sourcing,2,33,3,3,0,0,72,0
100331,Technology,region_7,Masters & above,m,referred,1,36,4,4,1,0,80,10
100332,Procurement,region_11,Masters & above,f,other,1,38,5,4,1,0,70,5
100333,Procurement,region_5,Bachelors,m,other,1,36,2,4,0,0,64,0
100334,Sales & Marketing,region_2,Bachelors,f,sourcing,1,50,4,21,1,0,49,5
100335,Sales & Marketing,region_14,Bachelors,m,sourcing,1,40,1,3,0,0,47,0
100336,Finance,region_28,Below Secondary,f,other,1,26,1,2,1,0,54,5
100337,Operations,region_20,Bachelors,m,sourcing,1,27,3,3,0,0,58,0
100338,Sales & Marketing,region_27,Masters & above,m,other,1,54,5,21,0,0,53,0
100339,Finance,region_26,Bachelors,f,other,1,29,4,7,0,0,67,0
100340,Technology,region_26,Bachelors,m,sourcing,1,24,2,1,1,0,77,5
100341,HR,region_4,Bachelors,f,other,1,31,3,5,0,0,51,0
100342,Sales & Marketing,region_13,Bachelors,m,other,1,31,1,4,0,0,47,0
100343,Procurement,region_2,Bachelors,f,other,3,31,2,9,0,0,65,0
100344,Finance,region_29,Bachelors,m,sourcing,1,30,4,7,0,0,61,0
100345,Procurement,region_7,Bachelors,m,sourcing,1,36,3,2,0,0,68,0
100346,Finance,region_2,Bachelors,m,other,1,33,5,3,1,0,57,5
100347,Analytics,region_22,Bachelors,m,sourcing,2,36,3,3,0,0,85,1
